Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 175: ;151;2.9;3.4;OK
delegado 176: ;169;3.4;3.4;OK
delegado 177: ;185;3.4;3.4;OK
delegado 178: ;182;3.4;3.1;OK
delegado 179: ;209;3.1;3.1;OK
delegado 180: ;265;3.1;3.6;OK
delegado 181: ;173;3.6;3.6;OK
delegado 182: ;206;3.6;3.6;OK
delegado 183: ;203;3.6;2.3;OK
delegado 184: ;164;2.3;2.3;OK
delegado 185: ;213;2.3;2.3;OK
delegado 186: ;191;2.3;4.1;OK
delegado 187: ;196;4.1;4.1;OK
delegado 188: ;157;4.1;4.1;OK
delegado 189: ;196;4.1;3.6;OK
delegado 190: ;133;3.6;3.6;OK
delegado 191: ;208;3.6;3.6;OK
delegado 192: ;146;3.6;2.7;OK
delegado 193: ;216;2.7;2.7;OK
delegado 194: ;146;2.7;2.7;OK
delegado 195: ;169;2.7;3.7;OK
delegado 196: ;192;3.7;3.7;OK
delegado 197: ;177;3.7;3.7;OK
delegado 198: ;206;3.7;1.1;OK
delegado 199: ;311;1.1;1.1;OK
Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1896;26.0;35.1;OK
delegado 1: ;336;35.1;35.1;OK
delegado 2: ;202;35.1;9.0;OK
delegado 3: ;288;9.0;9.0;OK
delegado 4: ;168;9.0;3.8;OK
delegado 5: ;262;3.8;3.8;OK
delegado 6: ;178;3.8;2.3;OK
delegado 7: ;194;2.3;2.3;OK
delegado 8: ;227;2.3;2.3;OK
delegado 9: ;240;6.2;6.2;OK
delegado 10: ;221;6.2;5.2;OK
delegado 11: ;205;5.2;5.2;OK
delegado 12: ;241;5.2;2.9;OK
delegado 13: ;193;2.9;2.9;OK
delegado 14: ;208;2.9;2.9;OK
delegado 15: ;218;2.9;3.2;OK
delegado 16: ;271;3.2;3.2;OK
delegado 17: ;280;3.2;3.7;OK
delegado 18: ;238;3.7;3.7;OK
delegado 19: ;371;3.7;6.9;OK
delegado 20: ;204;6.9;6.9;OK
delegado 21: ;264;6.9;2.9;OK
delegado 22: ;185;2.9;2.9;OK
delegado 23: ;162;2.9;2.9;OK
delegado 24: ;201;2.9;5.5;OK
delegado 25: ;198;5.5;5.5;OK
delegado 26: ;250;5.5;3.8;OK
delegado 27: ;191;3.8;3.8;OK
delegado 28: ;209;3.8;3.8;OK
delegado 29: ;238;3.8;5.4;OK
delegado 30: ;200;5.4;5.4;OK
delegado 31: ;164;5.4;5.4;OK
delegado 32: ;199;5.4;3.5;OK
delegado 33: ;148;3.5;3.5;OK
delegado 34: ;211;3.5;3.5;OK
delegado 35: ;224;3.5;3.5;OK
delegado 36: ;164;3.5;3.5;OK
delegado 37: ;192;3.5;3.5;OK
delegado 38: ;210;3.5;4.1;OK
delegado 39: ;212;4.1;4.1;OK
delegado 40: ;187;4.1;4.1;OK
delegado 41: ;284;4.1;3.5;OK
